"Rank","Platform","Manufacturer","Year","North America","Europe","Japan","Rest of World","Global","Release of Games"
"1","PlayStation 2 (PS2)","Sony","2000","53.65","55.28","23.18","25.57","157.68","3.549"
"2","Nintendo DS (DS)","Nintendo","2004","57.39","52.07","33.01","12.43","154.90","4.009"
"3","Game Boy (GB)","Nintendo","1989","43.18","40.05","32.47","2.99","118.69","1.608"
"4","PlayStation (PS)","Sony","1994","38.94","36.91","19.36","9.04","104.25","2.680"
"5","Wii (Wii)","Nintendo","2006","45.51","33.88","12.77","9.48","101.64","2.809"
"6","PlayStation 3 (PS3)","Sony","2006","29.42","34.55","10.47","12.46","86.90","3.316"
"7","Xbox 360 (X360)","Microsoft","2005","49.11","25.87","1.66","9.16","85.80","3.678"
"8","PlayStation 4 (PS4)","Sony","2013","28.35","34.08","7.14","15.05","84.62","1.049"
"9","Game Boy Advance (GBA)","Nintendo","2001","40.39","21.31","16.96","2.85","81.51","1.640"
"10","PlayStation Portable (PSP)","Sony","2005","21.41","24.14","20.01","15.26","80.82","1.806"
"11","Nintendo 3DS (3DS)","Nintendo","2011","24.01","20.45","24.27","4.24","72.97","1.177"
"12","Nintendo Entertainment System (NES)","Nintendo","1983","33.49","8.30","19.35","0.77","61.91","1.093"
"13","Super Nintendo Entertainment System (SNES)","Nintendo","1991","22.88","8.15","17.17","0.90","49.10","1.207"
"14","Xbox One (XOne)","Microsoft","2013","24.26","10.58","0.10","4.36","39.30","625"
"15","Nintendo 64 (N64)","Nintendo","1996","20.11","6.35","5.54","0.93","32.93","395"
"16","Sega Genesis (GEN)","SEGA","1989","16.98","8.39","3.58","0.59","29.54","802"
"17","Atari 2600 (2600)","ATARI","1977","23.54","3.35","0.00","0.75","27.64","497"
"18","Xbox (XB)","Microsoft","2002","15.77","7.17","0.53","1.18","24.65","978"
"19","GameCube (GC)","Nintendo","2001","12.55","4.44","4.04","0.71","21.74","673"
"20","Nintendo Switch (NS)","Nintendo","2017","8.00","5.77","5.27","2.33","21.37","105"
"21","PlayStation Vita (PSV)","Sony","2011","2.55","5.24","5.86","2.41","16.06","958"
"22","Wii U (WiiU)","Nintendo","2012","6.23","3.54","3.33","0.87","13.97","376"
"23","GameGear (GG)","SEGA","1990","5.40","3.23","1.78","0.21","10.62","209.748"
"24","Sega Saturn (SAT)","SEGA","1994","1.83","1.12","5.80","0.07","8.82","334"
"25","Dreamcast (DC)","SEGA","1998","3.90","1.91","2.25","0.14","8.20","652"
"26","Atari 7800 (7800)","ATARI","1986","4.30","0.00","0.00","0.00","4.30","59"
"27","WonderSwan (WS)","Koto Lab","1999","0.00","0.00","1.12","0.00","1.12","201"
"28","iOS (iOS)","Apple","2007","0.00","0.00","0.00","0.00","0.00","218"
"29","3DO Interactive Multiplayer (3DO)","Panasonic","1994","0.00","0.00","0.00","0.00","0.00","304"
"30","PC-FX (PCFX)","NEC","1994","0.00","0.00","0.00","0.00","0.00","67"
"31","Sega CD (SCD)","SEGA","1993","0.00","0.00","0.00","0.00","0.00","218"
"32","Microsoft Windows (PC)","Microsoft","1985","0.00","0.00","0.00","0.00","0.00","9.476"
"33","TurboGrafx-16 (TG16)","NEC","1987","0.00","0.00","0.00","0.00","0.00","461"
"34","Neo Geo (NG)","Tommo","1990","0.00","0.00","0.00","0.00","0.00","171"
